  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:38:25  03/07/2024 ntjb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   9.7535223E-01  -1.6224656E-02  -8.2101355E+00   1.7664076E+00
   9.7874117E-01  -1.0368549E-02  -8.1157398E+00   1.7657553E+00
   9.8216391E-01   5.1338121E-02  -8.0293322E+00   1.7644548E+00
   9.8560643E-01  -7.1453415E-03  -7.9351926E+00   1.7637807E+00
   9.8894578E-01   1.2524622E-03  -7.8506284E+00   1.7636141E+00
   9.9225140E-01  -1.7794374E-03  -7.7653580E+00   1.7629825E+00
   9.9569279E-01   6.8827202E-03  -7.7022939E+00   1.7624063E+00
   9.9911153E-01  -3.3853445E-03  -7.6049170E+00   1.7616009E+00
   1.0025039E+00   7.4270666E-03  -7.5409336E+00   1.7606298E+00
   1.0051997E+00   7.8467475E-03  -7.5150366E+00   1.7601023E+00
   1.0085421E+00  -1.3062253E-03  -7.4228430E+00   1.7595098E+00
   1.0124803E+00   1.5816311E-03  -7.3152452E+00   1.7589682E+00
   1.0158541E+00   6.6633737E-03  -7.2849188E+00   1.7586101E+00
   1.0185657E+00   7.1632350E-03  -7.2227206E+00   1.7579564E+00
   1.0219443E+00   3.1261325E-02  -7.2065134E+00   1.7572005E+00
   1.0253993E+00   2.7844873E-03  -7.1010370E+00   1.7566106E+00
   1.0288533E+00   9.7949803E-03  -7.0658031E+00   1.7558899E+00
   1.0322900E+00   7.5655701E-03  -6.9928136E+00   1.7552173E+00
   1.0358391E+00   1.3439032E-02  -6.9517441E+00   1.7546458E+00
   1.0387745E+00   3.9743971E-02  -6.9518003E+00   1.7543082E+00
   1.0425349E+00   1.7987542E-02  -6.8428254E+00   1.7533703E+00
   1.0455595E+00   1.1610601E-02  -6.8036022E+00   1.7526287E+00
   1.0485847E+00   1.3394762E-02  -6.7682347E+00   1.7522383E+00
   1.0523821E+00   2.0993514E-02  -6.7224722E+00   1.7514901E+00
   1.0553405E+00   1.8372938E-02  -6.6729031E+00   1.7506243E+00
   1.0590049E+00   2.8343691E-02  -6.6034150E+00   1.7499906E+00
   1.0621029E+00   2.1471035E-02  -6.5628800E+00   1.7493671E+00
   1.0659466E+00   1.4542662E-02  -6.5500708E+00   1.7486620E+00
   1.0690267E+00   1.6549634E-02  -6.4886732E+00   1.7481468E+00
   1.0721048E+00   2.0549892E-02  -6.4303684E+00   1.7474222E+00
   1.0759820E+00   2.9182553E-02  -6.3899446E+00   1.7465187E+00
   1.0790745E+00   3.2636616E-02  -6.3370323E+00   1.7457641E+00
   1.0821282E+00   3.3718418E-02  -6.3121901E+00   1.7453575E+00
   1.0858756E+00   3.1849816E-02  -6.2415967E+00   1.7449315E+00
   1.0888160E+00   3.7116677E-02  -6.1982999E+00   1.7444669E+00
   1.0926015E+00   4.8887819E-02  -6.1413631E+00   1.7437420E+00
   1.0956745E+00   2.9105216E-02  -6.0899215E+00   1.7430503E+00
